,SX,M (€),R (mois),F (mois),CA_MOIS (€),CA_TRIM (€),CA_SEM (€),CA_ANNU (€),AG (an),NB_LIV_ENF (unité),NB_LIV_ADO (unité),NB_LIV_ROM (unité),NB_LIV_ART (unité),NB_LIV_BRIC (unité),NB_LIV_ESS (unité),NB_LIV_HIST (unités),NB_LIV_SCI (unité),NB_LIV_GEO (unités),NB_LIV_ECO (unité),NB_LIV_FIN (unité)
00042109,M,322,10,7,0,0,0,552,50,1,0,2,1,1,1,1,0,0,0,0
00042110,M,204,10,1,0,0,0,2448,10,0,0,1,0,0,0,0,0,0,0,0
00042111,F,246,12,5,0,0,0,590,30,2,1,0,1,0,0,1,0,0,0,0
00042112,F,148,12,4,0,0,0,444,20,1,1,2,0,0,0,0,1,0,0,0
00042114,F,421,4,11,0,0,230,459,46,5,3,1,1,0,0,1,0,0,0,0
00042116,F,259,2,1,0,777,1554,3108,2,0,0,0,1,0,0,0,0,0,0,0
00042117,F,217,16,2,0,0,0,0,22,1,0,0,0,0,0,1,0,0,0,0
00042120,F,271,16,11,0,0,0,0,82,1,1,3,1,1,2,2,0,0,0,0
00042121,F,105,30,1,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0
00042122,F,275,10,11,0,0,0,300,46,3,0,4,0,1,2,1,0,0,0,0
00042123,F,148,16,5,0,0,0,0,40,2,0,2,0,0,0,1,1,0,0,0
00042126,F,198,10,5,0,0,0,475,28,1,0,2,0,0,2,0,0,0,0,0
00042128,F,293,4,2,0,0,879,1758,10,0,0,1,0,1,0,0,0,1,0,0
00042129,F,278,14,2,0,0,0,0,22,1,0,1,0,0,0,0,0,0,0,0
00042132,F,268,26,12,0,0,0,0,66,1,2,2,0,1,3,3,0,0,0,0
00042133,F,328,16,2,0,0,0,0,18,1,0,1,0,0,0,0,1,0,0,0
00042134,F,444,14,10,0,0,0,0,50,1,1,1,1,1,2,3,0,0,0,0
00042135,M,185,10,9,0,0,0,247,56,2,1,3,1,1,1,0,0,0,0,0
00042136,F,41,14,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
00042138,F,329,16,6,0,0,0,0,34,1,3,1,0,0,0,1,0,0,0,0
00042140,F,284,4,2,0,0,852,1704,8,1,0,0,0,1,0,0,0,0,0,0
00042141,F,250,34,3,0,0,0,0,42,0,1,1,0,1,0,0,0,0,0,0
00042143,F,27,2,1,0,81,162,324,2,1,0,0,0,0,0,0,0,0,0,0
00042144,F,132,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00042148,F,67,26,1,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0
00042149,M,93,36,1,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0
00042150,F,153,36,1,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0
00042152,M,300,8,4,0,0,0,900,22,0,0,2,0,0,0,2,1,0,0,0
00042155,M,404,12,9,0,0,0,539,34,0,0,1,3,1,3,1,0,0,0,0
00042160,M,205,12,2,0,0,0,1230,20,0,0,2,0,0,0,0,0,0,0,0
00042161,M,168,14,4,0,0,0,0,38,2,0,1,0,1,0,0,0,0,0,0
00042162,F,55,10,1,0,0,0,660,10,0,0,1,0,0,0,0,0,0,0,0
00042163,M,71,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00042168,F,77,10,2,0,0,0,462,16,2,0,0,0,0,0,0,0,0,0,0
00042172,F,125,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1
00042173,F,248,4,7,0,0,213,425,38,0,1,2,0,0,3,1,1,0,1,0
00042174,F,35,8,2,0,0,0,210,12,1,0,0,0,0,1,0,0,0,0,0
00042178,M,256,22,4,0,0,0,0,36,0,0,2,1,1,0,0,0,0,0,0
00042179,F,319,2,2,0,479,957,1914,8,0,0,2,0,0,0,0,0,0,0,0
00042181,F,220,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00042183,F,439,28,11,0,0,0,0,54,0,2,3,2,1,1,2,0,0,0,0
00042184,F,108,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00042185,M,325,20,2,0,0,0,0,26,0,0,1,0,0,1,0,0,0,0,0
00042186,F,204,8,3,0,0,0,816,16,0,2,0,0,1,0,0,0,0,0,0
00042190,F,296,14,2,0,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0
00042191,M,280,26,5,0,0,0,0,52,2,0,0,0,0,2,1,0,0,0,1
00042193,F,391,14,10,0,0,0,0,52,0,1,2,1,1,3,2,0,0,0,1
00042194,M,312,16,4,0,0,0,0,40,2,1,1,0,0,0,0,0,0,0,0
00042195,F,225,12,2,0,0,0,1350,14,1,0,0,0,1,0,0,0,0,0,0
00042197,M,322,2,9,0,107,215,429,42,2,0,1,1,1,0,4,0,0,0,0
00042198,M,263,24,2,0,0,0,0,32,0,0,0,0,0,1,1,0,0,0,0
00042199,M,220,8,2,0,0,0,1320,10,0,0,0,0,0,1,1,0,0,0,0
00042201,F,53,8,1,0,0,0,636,8,0,0,0,0,0,0,1,0,0,0,0
00042202,M,175,30,9,0,0,0,0,82,3,0,3,2,0,0,1,1,0,0,0
00042205,F,179,4,1,0,0,1074,2148,4,0,0,0,1,0,0,0,0,0,0,0
00042206,F,275,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00042207,F,354,4,8,0,0,266,531,22,1,1,4,0,1,0,1,0,0,0,0
00042210,M,314,16,11,0,0,0,0,52,0,2,2,3,0,1,3,0,0,0,0
00042211,M,315,20,8,0,0,0,0,46,4,0,2,0,1,1,0,0,0,0,0
00042213,F,285,16,6,0,0,0,0,44,1,0,3,0,1,0,1,0,0,0,0
00042214,F,228,14,10,0,0,0,0,60,1,0,3,3,0,2,1,0,0,0,0
00042215,F,284,10,2,0,0,0,1704,18,0,1,0,0,0,0,1,0,0,0,0
00042217,F,104,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00042218,F,257,16,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
00042219,F,141,12,2,0,0,0,846,14,0,0,0,0,0,1,1,0,0,0,0
00042222,M,322,14,2,0,0,0,0,20,0,0,2,0,0,0,0,1,0,0,0
00042223,M,89,4,1,0,0,534,1068,4,0,0,0,0,0,1,0,0,0,0,1
00042224,M,285,16,11,0,0,0,0,76,2,2,4,0,1,0,2,0,0,0,0
00042225,M,361,6,9,0,0,241,481,36,1,0,2,1,2,1,2,1,1,0,1
00042228,M,149,14,5,0,0,0,0,34,0,1,2,0,0,0,2,0,0,0,0
00042229,M,296,34,6,0,0,0,0,50,1,0,2,2,1,0,0,0,0,0,0
00042231,M,244,20,1,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0
00042232,M,215,6,2,0,0,645,1290,12,0,1,1,0,0,0,0,0,0,0,1
00042233,M,18,16,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0
00042234,F,214,16,3,0,0,0,0,28,0,0,1,1,1,0,0,0,0,0,0
00042235,F,365,16,8,0,0,0,0,48,2,0,3,1,1,0,1,0,0,0,0
00042237,F,15,16,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0
00042238,M,326,12,2,0,0,0,1956,20,1,0,0,0,0,0,1,0,0,0,1
00042244,F,81,22,1,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0
00042245,F,99,26,1,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0
00042246,F,169,26,3,0,0,0,0,34,1,0,0,1,0,0,1,0,0,0,0
00042248,F,368,4,10,0,0,221,442,50,0,3,0,1,2,1,3,0,0,0,0
00042258,F,132,22,1,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0
00042261,F,130,22,4,0,0,0,0,36,1,0,1,0,0,0,2,0,0,0,0
00042264,F,171,12,11,0,0,0,187,66,2,2,2,2,1,0,2,0,0,0,0
00042265,M,467,14,12,0,0,0,0,50,3,1,5,1,1,0,1,1,0,0,0
00042266,F,188,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00042269,F,282,26,12,0,0,0,0,62,2,3,1,0,2,2,2,0,0,0,0
00042270,F,114,20,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0
00042272,F,156,10,2,0,0,0,936,12,0,0,0,0,2,0,0,0,0,0,0
00042278,F,94,12,2,0,0,0,564,18,0,0,1,0,0,1,0,0,0,1,0
00042281,F,87,4,5,0,0,104,209,24,2,1,1,0,0,0,1,0,0,0,0
00042284,F,260,10,8,0,0,0,390,48,1,2,1,0,1,2,1,1,0,1,1
00042285,F,144,30,1,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0
00042286,F,202,14,11,0,0,0,0,56,3,2,2,0,1,0,3,1,0,0,0
00042288,F,188,14,3,0,0,0,0,22,1,0,1,1,0,0,0,0,0,0,0
00042289,M,129,16,6,0,0,0,0,34,0,1,4,0,0,1,0,0,0,0,0
00042290,M,279,36,1,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0
00042294,F,187,28,1,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0
00042295,F,176,10,9,0,0,0,235,50,2,2,0,1,1,0,3,0,0,0,0
00042296,F,112,12,2,0,0,0,672,20,0,1,0,0,1,0,0,0,0,0,0
00042297,F,186,14,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
00042298,F,225,6,1,0,0,1350,2700,6,0,0,1,0,0,0,0,0,0,0,0
00042302,F,246,10,12,0,0,0,246,64,2,0,5,1,0,3,1,0,0,0,0
00042303,M,207,30,3,0,0,0,0,42,0,0,1,1,0,0,1,1,0,0,0
00042306,F,254,12,1,0,0,0,3048,12,1,0,0,0,0,0,0,0,0,0,0
00042309,F,232,2,2,0,348,696,1392,6,0,0,1,0,0,1,0,0,0,0,0
00042310,F,277,14,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
00042311,F,210,34,12,0,0,0,0,76,3,1,1,2,1,2,2,0,0,0,0
00042312,F,57,24,1,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0
00042313,M,221,4,11,0,0,121,241,36,5,1,3,1,0,0,1,1,0,0,0
00042314,F,305,28,2,0,0,0,0,30,1,0,0,1,0,0,0,0,0,0,0
00042323,F,258,8,1,0,0,0,3096,8,0,0,0,0,0,0,1,0,0,0,0
00042327,F,276,12,1,0,0,0,3312,12,0,0,1,0,0,0,0,0,0,0,0
00042330,F,170,16,10,0,0,0,0,40,8,0,1,0,0,1,0,0,0,0,0
00042331,F,146,16,7,0,0,0,0,46,1,0,2,3,0,1,0,0,0,0,0
00042332,M,254,2,12,0,64,127,254,56,3,0,5,3,0,0,1,0,0,0,0
00042333,F,87,14,2,0,0,0,0,20,0,1,1,0,0,0,0,1,0,0,0
00042334,F,192,10,11,0,0,0,209,34,2,0,2,3,1,2,1,1,1,1,0
00042337,F,197,4,2,0,0,591,1182,8,0,1,0,0,0,1,0,0,0,1,1
00042339,F,88,14,4,0,0,0,0,28,1,0,0,1,0,1,1,0,0,0,0
00042341,F,227,16,2,0,0,0,0,20,1,0,1,0,0,0,0,0,0,0,0
00042342,F,169,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00042344,F,42,10,2,0,0,0,252,12,1,0,0,0,0,0,1,0,0,0,0
00042345,M,115,4,5,0,0,138,276,26,1,0,2,2,0,0,0,0,0,0,0
00042348,F,276,14,4,0,0,0,0,30,1,0,0,0,0,1,2,0,0,0,0
00042350,F,91,10,2,0,0,0,546,12,0,0,0,0,1,0,1,0,0,0,0
00042353,F,104,12,5,0,0,0,250,30,1,1,1,0,0,0,2,1,0,0,0
00042355,M,122,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00042356,F,247,10,2,0,0,0,1482,16,0,0,0,2,0,0,0,0,0,0,0
00042359,F,301,2,10,0,90,181,361,36,1,1,3,1,0,2,2,0,0,0,1
00042361,M,261,4,4,0,0,392,783,18,0,1,1,1,0,0,1,0,0,0,1
00042362,F,272,4,1,0,0,1632,3264,4,0,0,0,0,0,1,0,0,0,0,0
00042364,F,112,14,2,0,0,0,0,16,0,0,0,0,1,0,1,0,0,0,0
00042367,F,234,16,11,0,0,0,0,56,1,0,6,2,0,0,2,0,0,0,0
00042370,F,281,10,1,0,0,0,3372,10,0,0,0,0,1,0,0,0,0,0,0
00042371,M,152,2,1,0,456,912,1824,2,0,0,0,0,0,1,0,0,0,0,1
00042372,F,283,30,10,0,0,0,0,86,1,0,3,2,1,1,2,0,0,0,0
00042373,F,93,2,2,0,140,279,558,6,1,0,1,0,0,0,0,0,0,0,0
00042374,F,231,2,3,0,231,462,924,8,0,0,3,0,0,0,0,0,0,0,0
00042375,M,68,8,2,0,0,0,408,14,0,0,0,0,2,0,0,0,0,0,0
00042378,M,203,8,2,0,0,0,1218,14,0,0,1,0,0,1,0,0,0,0,0
00042379,F,198,2,3,0,198,396,792,8,1,0,0,1,0,0,1,0,0,0,0
00042382,F,109,16,2,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0
00042383,M,84,8,5,0,0,0,202,34,2,0,2,0,0,1,0,1,0,0,0
00042384,F,141,12,2,0,0,0,846,14,1,0,1,0,0,0,0,0,0,0,0
00042386,F,135,24,2,0,0,0,0,28,0,0,0,0,0,1,1,0,0,0,0
00042387,M,398,14,11,0,0,0,0,68,2,2,3,0,0,3,1,1,0,1,1
00042388,F,115,12,3,0,0,0,460,22,2,0,0,0,0,1,0,0,0,0,0
00042390,M,190,10,12,0,0,0,190,40,2,0,4,2,1,1,2,1,0,0,1
00042396,M,223,6,1,0,0,1338,2676,6,0,0,1,0,0,0,0,0,0,0,0
00042398,F,48,4,2,0,0,144,288,8,0,0,1,0,0,0,1,0,0,0,0
00042399,F,356,8,9,0,0,0,475,34,3,2,2,1,0,0,1,0,0,0,0
00042400,M,277,24,1,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0
00042402,F,259,10,3,0,0,0,1036,24,0,1,2,0,0,0,0,0,0,0,0
00042405,F,319,10,7,0,0,0,547,40,0,1,4,1,0,0,1,0,0,0,0
00042407,M,270,34,2,0,0,0,0,36,1,0,0,1,0,0,0,0,0,0,0
00042408,M,31,10,1,0,0,0,372,10,0,0,1,0,0,0,0,0,0,0,0
00042409,M,329,26,4,0,0,0,0,38,0,1,1,1,0,1,0,0,0,0,0
00042411,F,94,10,5,0,0,0,226,38,1,0,1,2,0,0,1,0,0,0,0
00042412,F,273,12,1,0,0,0,3276,12,0,0,1,0,0,0,0,0,0,0,0
00042415,F,204,14,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
00042416,F,40,10,2,0,0,0,240,16,0,1,1,0,0,0,0,0,0,0,0
00042418,M,217,4,3,0,0,434,868,18,2,0,1,0,0,0,0,0,0,0,0
00042419,F,407,16,10,0,0,0,0,60,2,1,0,2,1,3,1,0,0,1,1
00042420,M,390,10,8,0,0,0,585,44,5,0,2,0,0,1,0,0,0,0,0
00042421,F,270,2,2,0,405,810,1620,6,0,0,0,1,1,0,0,0,0,0,0
00042422,F,392,10,8,0,0,0,588,52,0,1,2,1,1,1,2,0,0,0,1
00042423,F,409,4,8,0,0,307,614,38,1,0,3,1,1,1,1,1,0,0,0
00042424,F,212,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00042425,M,274,10,6,0,0,0,548,30,3,0,1,2,0,0,0,0,0,0,0
00042429,F,93,10,1,0,0,0,1116,10,1,0,0,0,0,0,0,0,0,0,1
00042430,M,27,34,1,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0
00042431,F,345,6,9,0,0,230,460,42,0,1,1,4,1,1,1,0,0,0,0
00042433,F,236,36,5,0,0,0,0,60,0,0,2,1,0,2,0,1,0,1,1
00042434,F,157,10,1,0,0,0,1884,10,0,0,0,1,0,0,0,0,0,0,0
00042441,F,289,14,2,0,0,0,0,20,0,0,1,0,0,1,0,0,0,1,0
00042445,F,62,14,2,0,0,0,0,22,0,0,2,0,0,0,0,1,0,0,0
00042446,M,169,16,2,0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0
00042447,F,35,12,2,0,0,0,210,16,0,0,1,0,0,0,1,0,0,0,0
00042448,M,274,2,2,0,411,822,1644,6,0,0,0,1,0,1,0,0,0,1,1
00042449,F,271,12,2,0,0,0,1626,18,1,0,1,0,0,0,0,1,0,0,0
00042450,F,280,16,2,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0
00042451,M,311,10,2,0,0,0,1866,14,1,0,0,0,1,0,0,0,0,0,0
00042454,F,16,14,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
00042457,M,209,16,2,0,0,0,0,22,0,0,1,1,0,0,0,0,0,0,0
00042460,F,292,14,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
00042461,F,255,10,1,0,0,0,3060,10,0,0,1,0,0,0,0,0,0,0,0
00042462,M,370,8,12,0,0,0,370,42,2,1,3,2,1,0,3,1,0,0,0
00042463,F,62,20,1,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0
00042464,F,246,10,2,0,0,0,1476,14,1,0,0,0,0,1,0,0,0,0,0
00042465,F,285,32,1,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0
00042467,M,197,10,2,0,0,0,1182,14,1,0,1,0,0,0,0,1,0,0,0
00042468,F,203,14,4,0,0,0,0,30,1,1,2,0,0,0,0,1,0,0,0
00042470,F,236,2,1,0,708,1416,2832,2,0,0,0,0,1,0,0,0,0,0,0
00042471,F,217,2,3,0,217,434,868,12,0,0,0,1,0,1,1,0,0,0,0
00042472,M,60,4,4,0,0,90,180,12,1,0,2,0,0,0,1,0,0,0,0
00042474,F,200,16,1,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0
00042475,F,144,6,8,0,0,108,216,24,1,0,2,1,1,1,2,0,0,0,0
00042477,F,124,14,2,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0
00042479,F,51,2,2,0,77,153,306,10,0,0,0,0,0,1,1,0,0,0,0
00042483,F,250,14,9,0,0,0,0,52,1,1,1,2,1,2,1,1,1,1,1
00042484,F,138,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00042485,M,120,12,2,0,0,0,720,18,0,0,0,1,0,0,1,0,0,0,0
00042487,F,17,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00042488,F,151,8,3,0,0,0,604,18,0,1,0,0,1,0,1,0,0,0,1
00042489,M,73,20,3,0,0,0,0,28,1,0,1,0,1,0,0,0,0,0,0
00042490,F,118,12,1,0,0,0,1416,12,0,0,0,0,0,0,1,0,0,0,0
00042493,M,235,14,1,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0
00042495,F,118,32,2,0,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0
00042496,F,259,10,2,0,0,0,1554,14,0,1,0,0,0,0,1,0,0,0,0
00042497,M,216,10,7,0,0,0,370,40,2,0,1,1,0,0,3,0,0,0,0
00042500,F,55,8,2,0,0,0,330,16,0,0,0,0,1,0,1,0,0,0,0
00042501,M,204,16,2,0,0,0,0,24,0,0,1,0,0,0,1,0,0,0,1
00042504,F,352,6,6,0,0,352,704,22,0,2,1,0,1,1,1,0,0,0,0
00042505,F,119,10,1,0,0,0,1428,10,0,0,1,0,0,0,0,0,0,0,0
00042506,M,151,12,2,0,0,0,906,20,0,0,0,1,0,1,0,0,0,0,0
00042507,M,307,16,9,0,0,0,0,62,1,1,2,1,0,2,2,0,0,0,1
00042514,F,373,2,5,0,224,448,895,18,0,0,3,1,0,0,1,0,0,0,0
00042521,F,317,16,5,0,0,0,0,36,2,0,0,0,1,0,2,0,0,0,0
00042527,F,368,8,12,0,0,0,368,78,3,1,2,1,1,2,2,0,0,0,0
00042528,F,93,36,1,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0
00042531,M,309,4,2,0,0,927,1854,10,0,0,0,1,0,0,1,0,0,0,1
00042532,F,289,12,1,0,0,0,3468,12,1,0,0,0,0,0,0,0,0,0,1
00042533,F,408,2,9,0,136,272,544,34,3,0,0,1,0,2,3,0,0,0,1
00042534,F,301,12,11,0,0,0,328,50,6,1,1,1,0,1,1,0,0,0,0
00042536,M,185,4,3,0,0,370,740,16,1,1,1,0,0,0,0,0,0,0,0
00042538,F,161,32,2,0,0,0,0,34,0,0,1,1,0,0,0,0,0,0,0
00042539,M,155,12,2,0,0,0,930,20,0,1,1,0,0,0,0,1,0,0,0
00042540,F,282,16,11,0,0,0,0,66,1,3,3,1,1,0,2,0,0,0,0
00042541,M,153,12,2,0,0,0,918,16,1,0,0,0,0,0,1,0,0,0,1
00042545,F,97,16,1,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0
00042549,F,237,6,1,0,0,1422,2844,6,0,1,0,0,0,0,0,0,0,0,0
00042550,M,123,20,4,0,0,0,0,34,0,0,0,1,1,1,1,0,0,0,0
00042551,F,291,2,2,0,437,873,1746,4,0,0,1,1,0,0,0,0,0,0,0
00042555,F,209,12,1,0,0,0,2508,12,0,0,1,0,0,0,0,0,0,0,0
00042557,F,73,32,2,0,0,0,0,34,0,1,0,0,0,0,1,0,0,0,0
00042558,M,198,6,12,0,0,99,198,62,2,1,3,2,2,1,1,0,0,0,1
00042562,F,195,8,3,0,0,0,780,24,0,0,0,0,1,0,2,0,1,0,1
00042564,M,93,14,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0
00042566,F,396,2,12,0,99,198,396,44,0,0,7,1,2,1,1,0,0,0,0
00042568,F,235,8,1,0,0,0,2820,8,0,0,0,1,0,0,0,0,0,0,0
00042572,F,66,10,1,0,0,0,792,10,0,0,0,0,0,0,1,0,0,0,0
00042573,F,340,28,11,0,0,0,0,82,2,1,2,1,1,3,1,1,1,1,0
00042575,M,164,16,2,0,0,0,0,18,0,0,0,1,0,1,0,0,0,0,1
00042576,F,76,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00042578,F,252,14,11,0,0,0,0,76,2,2,3,0,1,1,2,0,0,0,0
00042579,F,124,12,2,0,0,0,744,14,1,0,0,0,0,1,0,0,0,0,0
00042580,F,126,6,2,0,0,378,756,10,0,1,1,0,0,0,0,0,0,0,1
00042584,F,295,14,1,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0
00042585,F,270,2,6,0,135,270,540,24,3,1,2,0,0,0,0,0,0,0,0
00042586,F,75,32,2,0,0,0,0,36,1,0,0,0,1,0,0,0,0,0,0
00042587,F,263,12,2,0,0,0,1578,16,1,0,1,0,0,0,0,0,0,0,0
00042589,F,222,20,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
00042590,M,393,4,8,0,0,295,590,36,0,1,1,1,1,1,3,1,1,1,1
00042591,M,349,32,11,0,0,0,0,76,3,1,3,1,0,1,2,0,0,0,1
00042592,M,219,4,2,0,0,657,1314,12,0,0,2,0,0,0,0,0,0,0,0
00042595,F,89,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00042596,F,137,2,2,0,206,411,822,8,0,1,1,0,0,0,0,0,0,0,0
00042599,F,314,34,2,0,0,0,0,38,1,0,1,0,0,0,0,0,0,0,0
00042600,M,102,12,2,0,0,0,612,14,0,1,0,0,0,1,0,0,0,0,0
00042601,F,355,22,7,0,0,0,0,48,3,1,1,2,0,0,0,0,0,0,0
00042609,F,67,10,2,0,0,0,402,12,0,0,1,0,0,1,0,0,0,0,0
00042614,F,115,6,6,0,0,115,230,30,1,2,1,2,0,0,0,0,0,0,0
00042615,M,97,10,1,0,0,0,1164,10,0,0,0,1,0,0,0,0,0,0,0
00042616,F,201,8,2,0,0,0,1206,12,1,1,0,0,0,0,0,0,0,0,0
00042617,M,333,2,4,0,250,500,999,20,0,2,0,0,1,1,0,0,1,1,1
00042618,F,138,10,1,0,0,0,1656,10,0,0,0,0,0,0,1,0,0,0,0
00042622,F,257,4,2,0,0,771,1542,8,1,0,1,0,0,0,0,0,0,0,0
00042623,M,270,6,8,0,0,203,405,50,3,0,2,1,0,0,2,0,0,0,0
00042626,F,62,8,1,0,0,0,744,8,0,0,0,0,0,1,0,0,0,0,0
00042627,F,279,16,8,0,0,0,0,36,1,2,3,0,0,1,1,1,0,1,0
00042629,M,285,10,3,0,0,0,1140,18,0,0,1,0,0,0,2,0,0,0,1
00042635,F,153,2,5,0,92,184,367,24,0,1,1,1,1,1,0,0,0,0,0
00042636,F,286,4,6,0,0,286,572,24,2,1,0,1,0,1,1,0,0,0,0
00042639,F,227,14,2,0,0,0,0,22,1,0,0,0,1,0,0,0,1,0,0
00042640,M,175,4,6,0,0,175,350,28,3,0,0,2,0,0,1,0,0,0,0
00042641,F,46,14,2,0,0,0,0,20,0,1,0,0,1,0,0,0,0,0,0
00042643,F,204,34,1,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0
00042644,F,201,4,2,0,0,603,1206,6,1,0,0,0,1,0,0,0,0,0,0
00042645,F,323,10,2,0,0,0,1938,14,0,0,1,0,1,0,0,0,0,0,0
00042647,F,157,6,7,0,0,135,269,22,4,0,0,1,1,1,0,0,0,0,0
00042648,M,228,10,10,0,0,0,274,40,2,1,1,4,1,0,1,0,0,0,0
00042650,F,225,16,1,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0
00042651,F,120,6,8,0,0,90,180,22,1,0,2,1,1,2,1,1,0,1,1
00042652,F,141,4,1,0,0,846,1692,4,0,1,0,0,0,0,0,0,0,0,0
00042654,F,212,2,5,0,127,254,509,30,2,2,0,0,1,0,0,0,0,0,0
00042656,F,228,16,2,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0
00042658,M,265,12,6,0,0,0,530,36,2,0,0,1,1,0,2,0,0,0,0
00042661,M,88,4,2,0,0,264,528,8,0,0,2,0,0,0,0,1,0,0,0
00042662,F,259,4,9,0,0,173,345,38,4,1,2,1,0,0,1,0,0,0,0
00042663,M,101,8,4,0,0,0,303,22,2,0,0,0,1,1,0,0,0,0,0
00042667,F,212,14,9,0,0,0,0,34,2,1,0,0,1,4,1,0,0,0,1
00042668,F,273,14,2,0,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0
00042669,F,302,4,1,0,0,1812,3624,4,0,1,0,0,0,0,0,0,0,0,0
00042670,F,246,14,12,0,0,0,0,54,3,0,2,3,2,0,2,0,0,0,0
00042672,M,239,2,2,0,359,717,1434,6,1,0,1,0,0,0,0,0,0,0,0
00042674,M,200,14,7,0,0,0,0,54,2,0,1,1,2,0,1,1,1,0,0
00042676,M,50,2,2,0,75,150,300,6,0,0,0,1,0,1,0,0,0,0,1
00042678,F,97,16,1,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0
00042680,M,151,2,1,0,453,906,1812,2,0,0,1,0,0,0,0,0,0,0,0
00042681,F,267,2,2,0,401,801,1602,10,0,0,1,0,1,0,0,0,0,0,0
00042682,M,194,6,2,0,0,582,1164,8,1,0,0,0,0,0,1,0,0,0,0
00042684,M,357,8,9,0,0,0,476,26,3,0,3,0,2,0,1,0,0,0,0
00042685,F,206,2,10,0,62,124,247,40,0,1,2,4,2,1,0,0,0,0,0
00042687,F,348,12,4,0,0,0,1044,26,1,0,1,1,0,0,1,0,0,0,0
00042688,F,305,12,4,0,0,0,915,24,1,1,2,0,0,0,0,0,0,0,0
00042690,M,399,20,8,0,0,0,0,56,0,3,3,1,0,0,1,0,0,0,0
00042691,F,206,12,1,0,0,0,2472,12,0,0,1,0,0,0,0,0,0,0,0
00042698,F,429,34,9,0,0,0,0,86,2,1,5,1,0,0,0,1,0,0,0
00042701,M,89,6,4,0,0,134,267,28,2,0,1,1,0,0,0,0,0,0,0
